Model,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
Random Forest,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
KNN,1.0,1.0,1.0,1.0
